Rd,Home,Away,Score,Formation,Opp Formation,Result
1,PSM,Persijap,1–1,4-1-3-2,4-4-2,D
2,Persijap,Persib,2–1,4-4-2,4-2-3-1,W
3,Borneo,Persijap,3–1,4-3-2-1,4-2-3-1,L
4,Persijap,Arema,0–0,4-2-3-1,4-2-3-1,D
5,Persis,Persijap,1–2,4-2-3-1,4-2-3-1,W
6,Persijap,Persita,1–2,4-4-2,4-2-3-1,L
7,Persijap,Persik,0–2,4-2-3-1,4-2-3-1,L
8,Persebaya,Persijap,4–0,4-4-2,4-4-2,L
9,Persijap,Bali Utd,1–2,4-4-2,4-3-3,L
10,Bhayangkara ,Persijap,2–0,4-3-3,4-2-1-3,L
11,Persijap,Malut Utd,1–2,5-4-1,4-2-3-1,L
12,Madura Utd,Persijap,2–1,4-4-2,4-2-3-1,L
13,Persijap,Semen Padang,1–2,4-3-3,4-4-2,L
14,PSBS,Persijap,3–2,3-4-3,4-2-3-1,L
15,Persijap,PSIM,1–1,4-4-2,4-2-3-1,D
16,Persija,Persijap,2–0,4-4-2,3-4-3,L
17,Persijap,Dewa Utd,0–3,4-4-2,4-2-1-3,L
18,Persijap,PSM,2–0,4-4-2,4-4-1-1,W
19,Arema,Persijap,1–0,4-4-2,4-3-3,L
20,Persijap,Madura Utd,1–0,4-3-3,4-2-3-1,W
21,Malut Utd,Persijap,4–0,4-4-2,4-3-3,L
22,Persijap,Persebaya,3–1,4-2-1-3,4-2-3-1,W
23,Bali Utd,Persijap,0–0,4-4-2,3-5-2,D
24,Persijap,Persis,0–0,4-4-2,4-3-1-2,D
25,PSIM,Persijap,2–2,4-4-2,4-2-3-1,D
26,Persik,Persijap,0–0,4-3-3,4-3-3,D
27,Persijap,Bhayangkara ,2–1,4-4-2,4-2-3-1,W
28,Semen Padang,Persijap,0–2,4-2-3-1,4-3-3,W
29,Persijap,PSBS,2–0,4-3-3,5-4-1,W
30,Dewa Utd,Persijap,1–0,4-4-2,4-2-3-1,L
31,Persijap,Persija,0–2,4-4-2,4-2-1-3,L
32,Persita,Persijap,0–3,4-2-3-1,4-3-3,W
